Character,Series,RoleType,CurriculumCoherence,StudentSurvivalRate,EmotionalIntelligence,AvailabilityPresence,StudentOutcomeDelta,EquitableAttention
Koro-sensei,Assassination Classroom,Full-class teacher,10,10,10,10,8,10
Izumi Curtis,Fullmetal Alchemist,Single-discipline master,9,9,7,9,10,8
Iruka Umino,Naruto,Academy teacher,4,10,9,10,4,9
Biscuit Krueger,Hunter x Hunter,Field trainer,9,10,7,9,9,8
Wing,Hunter x Hunter,Field trainer,9,10,7,8,9,8
Aizawa Shouta,My Hero Academia,School teacher,7,9,7,9,6,8
Coach Ukai,Haikyuu!!,Tactical coach,7,10,7,9,6,9
Coach Anzai,Slam Dunk,Head coach,7,10,8,8,7,9
Takeda Ittetsu,Haikyuu!!,Faculty advisor,3,10,8,10,2,9
Sakonji Urokodaki,Demon Slayer,Traditional master,7,8,5,8,9,6
Onizuka Eikichi,Great Teacher Onizuka,Unorthodox teacher,4,9,9,8,6,7
Bang,One-Punch Man,Dojo master,7,10,7,7,7,7
Genkai,Yu Yu Hakusho,Tournament mentor,7,7,6,7,9,7
Piccolo,Dragon Ball Z,Reluctant mentor,5,8,7,7,8,5
Might Guy,Naruto,Taijutsu specialist,5,10,8,9,8,7
Kakashi Hatake,Naruto,Team leader,4,7,5,6,7,3
Jiraiya,Naruto,Wandering sage,5,5,5,6,8,7
Reborn,Katekyo Hitman Reborn,Extreme tutor,6,8,4,7,8,6
Master Roshi,Dragon Ball,Hermit master,4,7,3,6,7,6
Urahara Kisuke,Bleach,Hidden genius,5,7,5,5,8,5
Silvers Rayleigh,One Piece,Elite trainer,4,8,5,5,8,5
Makarov Dreyar,Fairy Tail,Guild master,2,6,7,6,4,5
Gildarts Clive,Fairy Tail,S-class mentor,2,7,4,4,5,4
Yami Sukehiro,Black Clover,Squad captain,2,6,3,6,5,2
All Might,My Hero Academia,Symbol teacher,2,4,6,5,6,2
Gojo Satoru,Jujutsu Kaisen,School teacher,2,4,3,3,5,2
Shanks,One Piece,Inspirational idol,1,6,4,1,3,2
Endeavor,My Hero Academia,Forced training,1,5,1,2,5,1
Ging Freecss,Hunter x Hunter,Absentee legend,1,5,1,1,4,2
Kamina,Gurren Lagann,Inspirational figure,1,1,3,1,3,5
