Rank,Character,Series,CurriculumCoherence,StudentSurvivalRate,EmotionalIntelligence,AvailabilityPresence,StudentOutcomeDelta,EquitableAttention,CompetenceScore
1,Koro-sensei,Assassination Classroom,10,10,10,10,8,10,9.70
2,Biscuit Krueger,Hunter x Hunter,9,10,7,9,9,8,8.74
3,Izumi Curtis,Fullmetal Alchemist,9,9,7,9,10,8,8.69
4,Wing,Hunter x Hunter,9,10,7,8,9,8,8.57
5,Coach Anzai,Slam Dunk,7,10,8,8,7,9,8.15
6,Coach Ukai,Haikyuu!!,7,10,7,9,6,9,7.99
7,Might Guy,Naruto,5,10,8,9,8,7,7.87
8,Aizawa Shouta,My Hero Academia,7,9,7,9,6,8,7.69
9,Iruka Umino,Naruto,4,10,9,10,4,9,7.62
10,Bang,One-Punch Man,7,10,7,7,7,7,7.60
11,Sakonji Urokodaki,Demon Slayer,7,8,5,8,9,6,7.21
12,Onizuka Eikichi,Great Teacher Onizuka,4,9,9,8,6,7,7.18
13,Genkai,Yu Yu Hakusho,7,7,6,7,9,7,7.12
14,Takeda Ittetsu,Haikyuu!!,3,10,8,10,2,9,6.94
15,Piccolo,Dragon Ball Z,5,8,7,7,8,5,6.75
16,Reborn,Katekyo Hitman Reborn,6,8,4,7,8,6,6.51
17,Urahara Kisuke,Bleach,5,7,5,5,8,5,5.85
18,Silvers Rayleigh,One Piece,4,8,5,5,8,5,5.85
19,Jiraiya,Naruto,5,5,5,6,8,7,5.82
20,Kakashi Hatake,Naruto,4,7,5,6,7,3,5.47
21,Master Roshi,Dragon Ball,4,7,3,6,7,6,5.41
22,Makarov Dreyar,Fairy Tail,2,6,7,6,4,5,4.98
23,Gildarts Clive,Fairy Tail,2,7,4,4,5,4,4.35
24,All Might,My Hero Academia,2,4,6,5,6,2,4.23
25,Yami Sukehiro,Black Clover,2,6,3,6,5,2,4.11
26,Gojo Satoru,Jujutsu Kaisen,2,4,3,3,5,2,3.20
27,Shanks,One Piece,1,6,4,1,3,2,2.94
28,Endeavor,My Hero Academia,1,5,1,2,5,1,2.57
29,Ging Freecss,Hunter x Hunter,1,5,1,1,4,2,2.35
30,Kamina,Gurren Lagann,1,1,3,1,3,5,2.06
