Boss,Game,Genre,TelegraphClarity,HitboxAccuracy,RecoveryWindow,LearningCurveDesign,RetryFriction,CameraArena,CommunityDifficulty
Malenia,Elden Ring,Soulsborne,7,7,6,7,3,7,10
Radahn,Elden Ring,Soulsborne,7,7,6,6,4,7,7
Margit,Elden Ring,Soulsborne,8,8,7,9,5,8,5
Isshin,Sekiro,Soulsborne,9,9,8,10,5,9,9
Genichiro,Sekiro,Soulsborne,9,9,8,9,5,9,6
Lady Butterfly,Sekiro,Soulsborne,7,8,6,7,5,7,6
Nameless King,Dark Souls 3,Soulsborne,7,7,6,7,6,5,7
Sister Friede,Dark Souls 3,Soulsborne,7,8,6,7,6,6,7
Gael,Dark Souls 3,Soulsborne,9,9,7,8,6,8,7
Ornstein & Smough,Dark Souls 1,Soulsborne,7,7,6,7,5,7,8
Capra Demon,Dark Souls 1,Soulsborne,3,4,2,3,7,1,5
Bed of Chaos,Dark Souls 1,Soulsborne,1,1,2,2,8,2,4
Ludwig,Bloodborne,Soulsborne,7,7,6,7,5,6,7
Orphan of Kos,Bloodborne,Soulsborne,6,5,4,6,4,5,9
Senator Armstrong,Metal Gear Rising,Action,7,8,6,7,4,8,6
Vergil,DMC5,Action,9,9,7,8,4,9,7
Psycho Mantis,Metal Gear Solid,Action,5,8,7,6,6,7,4
Sigrun,God of War 2018,Action,8,9,7,9,5,7,8
Baldur,God of War 2018,Action,9,9,9,8,2,9,2
Thunderblight Ganon,Breath of the Wild,Nintendo,5,7,6,6,3,7,7
Ganondorf,Ocarina of Time,Nintendo,8,8,8,8,4,8,3
Bowser,Super Mario Bros NES,Nintendo,6,5,7,6,6,7,4
Mike Tyson,Punch-Out!!,Retro,4,7,3,5,7,8,8
Dr. Wily,Mega Man 1,Retro,5,6,5,6,8,7,6
Yellow Devil,Mega Man 1,Retro,2,6,2,3,9,7,7
Shao Kahn,Mortal Kombat,Fighting,2,5,2,2,4,6,6
Sephiroth,Final Fantasy VII,RPG,6,8,7,6,3,8,4
Sans,Undertale,Indie,7,8,4,7,2,9,9
Absolute Radiance,Hollow Knight,Indie,5,6,3,5,2,7,9
Ender Dragon,Minecraft,Sandbox,5,6,7,5,5,5,3
