app_name,owner,swipe_addiction,paywall_manipulation,notification_spam,visibility_throttling,subscription_trap,data_harvesting,fomo_mechanics,fake_scarcity
Tinder,Match Group,10,10,9,10,8,9,8,10
Match.com,Match Group,5,9,10,7,10,7,6,7
Hinge,Match Group,8,9,6,8,7,8,7,9
Bumble,Bumble Inc.,7,8,7,7,7,6,10,8
Badoo,Bumble Inc.,9,7,8,8,6,8,6,7
Zoosk,Spark Networks,6,8,8,7,7,6,5,8
Happn,Happn SAS,7,8,9,8,5,6,5,7
Tantan,Yidian Zixun / Momo Inc.,8,7,7,7,6,9,5,6
OkCupid,Match Group,6,6,7,6,6,8,5,6
Plenty of Fish,Match Group,6,7,8,7,8,6,4,6
Grindr,Grindr LLC,7,5,6,5,5,10,4,5
The League,Match Group,4,9,5,7,7,5,6,7
Pairs,Eureka (Match Group),6,7,6,7,6,7,5,5
Coffee Meets Bagel,Coffee Meets Bagel Inc.,3,8,5,5,6,5,6,7
eHarmony,IAC (formerly),3,8,6,5,10,5,3,5
Lumen,Lumen Dating Ltd.,4,7,6,6,6,5,4,5
Her,Bloomer Inc.,5,5,5,4,5,5,4,4
Feeld,Feeld Ltd.,4,5,3,4,4,7,3,3
Snack,Snack Media Inc.,5,4,4,4,4,5,4,4
Ship,Match Group,4,4,5,4,4,4,4,4
Thursday,Thursday Ltd. (shut down),2,4,3,2,4,3,8,4
Archer,Archer Dating LLC,3,4,3,3,3,4,3,3
Raya,Raya Inc.,3,5,2,3,3,3,3,3
