rank,app_name,owner,swipe_addiction,paywall_manipulation,notification_spam,visibility_throttling,subscription_trap,data_harvesting,fomo_mechanics,fake_scarcity,dark_pattern_score,tier
1,Tinder,Match Group,10,10,9,10,8,9,8,10,92.5,S
2,Hinge,Match Group,8,9,6,8,7,8,7,9,77.5,A
3,Match.com,Match Group,5,9,10,7,10,7,6,7,76.2,A
4,Bumble,Bumble Inc.,7,8,7,7,7,6,10,8,75.0,A
5,Badoo,Bumble Inc.,9,7,8,8,6,8,6,7,73.8,A
6,Zoosk,Spark Networks,6,8,8,7,7,6,5,8,68.8,B
7,Happn,Happn SAS,7,8,9,8,5,6,5,7,68.8,B
8,Tantan,Yidian Zixun / Momo Inc.,8,7,7,7,6,9,5,6,68.8,B
9,Plenty of Fish,Match Group,6,7,8,7,8,6,4,6,65.0,B
10,OkCupid,Match Group,6,6,7,6,6,8,5,6,62.5,B
11,The League,Match Group,4,9,5,7,7,5,6,7,62.5,B
12,Pairs,Eureka (Match Group),6,7,6,7,6,7,5,5,61.3,B
13,Grindr,Grindr LLC,7,5,6,5,5,10,4,5,58.8,B
14,Coffee Meets Bagel,Coffee Meets Bagel Inc.,3,8,5,5,6,5,6,7,56.2,B
15,eHarmony,IAC (formerly),3,8,6,5,10,5,3,5,56.2,B
16,Lumen,Lumen Dating Ltd.,4,7,6,6,6,5,4,5,53.8,C
17,Her,Bloomer Inc.,5,5,5,4,5,5,4,4,46.2,C
18,Snack,Snack Media Inc.,5,4,4,4,4,5,4,4,42.5,C
19,Feeld,Feeld Ltd.,4,5,3,4,4,7,3,3,41.2,C
20,Ship,Match Group,4,4,5,4,4,4,4,4,41.2,C
21,Thursday,Thursday Ltd. (shut down),2,4,3,2,4,3,8,4,37.5,D
22,Archer,Archer Dating LLC,3,4,3,3,3,4,3,3,32.5,D
23,Raya,Raya Inc.,3,5,2,3,3,3,3,3,31.2,D
