villain,film,year,strategic_vision,resource_management,charisma,crisis_management,innovation,emotional_intelligence,raw_ruthlessness
Scar,The Lion King,1994,9,7,8,4,4,5,9
Maleficent,Sleeping Beauty,1959,7,6,5,2,6,2,10
Ursula,The Little Mermaid,1989,8,8,9,7,8,9,8
Hades,Hercules,1997,8,10,8,9,9,7,6
Jafar,Aladdin,1992,6,5,5,7,7,4,7
Gaston,Beauty and the Beast,1991,2,3,10,3,2,2,7
Syndrome,The Incredibles,2004,9,7,5,5,10,4,8
Yzma,The Emperor's New Groove,2000,5,3,4,4,7,3,3
Captain Hook,Peter Pan,1953,3,4,4,2,2,3,5
Evil Queen,Snow White,1937,5,4,3,3,5,2,9
Mother Gothel,Tangled,2010,8,5,7,4,5,10,6
Claude Frollo,Hunchback of Notre Dame,1996,7,7,5,3,3,2,9
Cruella de Vil,101 Dalmatians,1961,4,5,5,2,3,3,8
Dr. Facilier,The Princess and the Frog,2009,6,6,8,8,7,7,6
Prince John,Robin Hood,1973,3,5,2,1,2,1,3
Ratigan,The Great Mouse Detective,1986,7,6,7,5,6,5,8
Shan Yu,Mulan,1998,6,7,5,6,4,3,10
Governor Ratcliffe,Pocahontas,1995,4,5,4,2,2,2,6
Hans,Frozen,2013,7,3,8,5,5,8,5
King Candy,Wreck-It Ralph,2012,8,7,6,6,8,6,7
Bellwether,Zootopia,2016,7,5,7,4,7,8,5
Tamatoa,Moana,2016,2,4,7,3,3,2,4
Charles Muntz,Up,2009,6,6,4,4,6,3,8
Lotso,Toy Story 3,2010,7,8,7,6,5,7,7
AUTO,WALL-E,2008,6,8,1,8,6,1,5
Stinky Pete,Toy Story 2,1999,5,2,5,3,4,6,4
Bill Sykes,Oliver and Company,1988,5,6,4,5,3,2,8
Percival McLeach,Rescuers Down Under,1990,4,4,3,3,4,2,7
The Horned King,The Black Cauldron,1985,5,5,3,3,4,1,9
Alameda Slim,Home on the Range,2004,4,4,5,3,5,3,4
