rank,villain,score,film,strategic_vision,resource_management,charisma,crisis_management,innovation,emotional_intelligence,raw_ruthlessness,ri_adj
1,Hades,86.9,Hercules,8,10,8,9,9,7,6,10
2,Ursula,80.8,The Little Mermaid,8,8,9,7,8,9,8,8
3,King Candy,70.9,Wreck-It Ralph,8,7,6,6,8,6,7,9
4,Syndrome,70.7,The Incredibles,9,7,5,5,10,4,8,8
5,Dr. Facilier,70.0,The Princess and the Frog,6,6,8,8,7,7,6,10
6,Lotso,69.1,Toy Story 3,7,8,7,6,5,7,7,9
7,Scar,66.8,The Lion King,9,7,8,4,4,5,9,7
8,Mother Gothel,65.5,Tangled,8,5,7,4,5,10,6,10
9,Bellwether,63.3,Zootopia,7,5,7,4,7,8,5,9
10,Ratigan,62.7,The Great Mouse Detective,7,6,7,5,6,5,8,8
11,Hans,59.9,Frozen,7,3,8,5,5,8,5,9
12,Jafar,59.1,Aladdin,6,5,5,7,7,4,7,9
13,AUTO,57.0,WALL-E,6,8,1,8,6,1,5,9
14,Shan Yu,55.7,Mulan,6,7,5,6,4,3,10,6
15,Muntz,52.6,Up,6,6,4,4,6,3,8,8
16,Frollo,52.2,Hunchback of Notre Dame,7,7,5,3,3,2,9,7
17,Maleficent,51.8,Sleeping Beauty,7,6,5,2,6,2,10,6
18,Bill Sykes,47.2,Oliver and Company,5,6,4,5,3,2,8,8
19,Yzma,44.8,The Emperor's New Groove,5,3,4,4,7,3,3,7
20,Alameda Slim,42.4,Home on the Range,4,4,5,3,5,3,4,8
21,Stinky Pete,42.1,Toy Story 2,5,2,5,3,4,6,4,8
22,Evil Queen,40.6,Snow White,5,4,3,3,5,2,9,7
23,Horned King,40.6,The Black Cauldron,5,5,3,3,4,1,9,7
24,Cruella de Vil,40.5,101 Dalmatians,4,5,5,2,3,3,8,8
25,Gaston,39.0,Beauty and the Beast,2,3,10,3,2,2,7,9
26,Ratcliffe,38.0,Pocahontas,4,5,4,2,2,2,6,10
27,McLeach,37.9,Rescuers Down Under,4,4,3,3,4,2,7,9
28,Tamatoa,37.2,Moana,2,4,7,3,3,2,4,8
29,Captain Hook,33.8,Peter Pan,3,4,4,2,2,3,5,9
30,Prince John,28.7,Robin Hood,3,5,2,1,2,1,3,7
