Country,SleepHours,CultureScore,WorkHoursPerWeek,AvgTempC,InfraScore
Japan,5.87,9,31.10,11.34,9
China,6.72,9,44.60,7.04,5
Spain,6.93,8,31.95,13.90,7
Greece,6.90,8,38.26,14.30,7
Italy,6.90,7,33.90,12.63,6
Netherlands,7.40,4,26.57,10.32,8
Germany,7.12,3,29.66,9.43,7
France,7.23,5,30.87,11.54,6
Norway,7.15,3,26.58,1.73,7
Denmark,7.23,3,28.91,8.68,7
Sweden,7.25,3,29.20,2.54,6
Finland,7.38,3,29.10,2.40,6
United Kingdom,7.37,2,31.17,9.06,5
Australia,7.33,2,31.29,21.97,5
New Zealand,7.45,3,33.48,10.02,7
Canada,7.18,2,31.86,-5.96,5
United States,7.10,2,36.27,7.62,4
South Korea,6.03,2,37.29,11.48,4
Taiwan,6.35,6,38.90,23.50,4
Singapore,6.57,2,44.63,27.81,3
India,6.58,6,45.69,24.56,3
Thailand,6.70,4,42.15,26.71,4
Mexico,6.62,6,41.07,21.19,4
Colombia,6.62,6,42.35,24.73,3
Brazil,6.67,4,38.06,25.50,4
Argentina,6.67,4,34.95,14.57,4
Nigeria,6.83,5,39.52,27.27,2
Egypt,6.75,5,44.11,23.06,2
Turkey,6.58,4,42.78,11.67,4
Portugal,6.98,4,33.46,15.48,5
