Rank,Country,SleepScore,CultureScore,WorkloadScore,ClimateScore,InfraScore,NOS
1,Spain,6.73,8,7.18,5.56,7,7.07
2,Netherlands,9.68,4,10.00,4.13,8,6.96
3,Greece,6.53,8,3.89,5.72,7,6.39
4,France,8.63,5,7.76,4.62,6,6.37
5,Italy,6.53,7,6.16,5.05,6,6.30
6,Japan,0.00,9,7.63,4.54,9,6.26
7,Australia,9.26,2,7.53,8.79,5,6.03
8,Denmark,8.63,3,8.78,3.47,7,5.95
9,New Zealand,10.00,3,6.38,4.01,7,5.83
10,Germany,7.90,3,8.39,3.77,7,5.77
11,Norway,8.10,3,9.99,0.69,7,5.67
12,Finland,9.57,3,8.68,0.96,6,5.60
13,Portugal,7.05,4,6.40,6.19,5,5.57
14,Sweden,8.74,3,8.63,1.02,6,5.43
15,United Kingdom,9.47,2,7.59,3.62,5,5.31
16,Taiwan,3.05,6,3.55,9.40,4,5.13
17,Mexico,4.74,6,2.42,8.48,4,5.10
18,Brazil,5.05,4,3.99,9.80,4,5.08
19,China,5.37,9,0.57,2.82,5,5.06
20,Colombia,4.74,6,1.75,9.89,3,5.03
21,Nigeria,6.10,5,3.23,9.09,2,5.03
22,Argentina,5.05,4,5.62,5.83,4,4.81
23,India,4.52,6,0.00,9.82,3,4.63
24,Thailand,5.26,4,1.85,9.32,4,4.62
25,Egypt,5.58,5,0.83,9.22,2,4.47
26,Canada,8.31,2,7.23,0.00,5,4.46
27,United States,7.79,2,4.93,3.05,4,4.20
28,Turkey,4.52,4,1.52,4.67,4,3.71
29,Singapore,4.42,2,0.55,8.88,3,3.38
30,South Korea,1.05,2,4.39,4.59,4,2.98
