country,alcohol_consumption,healthcare_index,water_quality,pharmacist_density,paid_leave_days,annual_hours_worked,cultural_cure_score,otc_availability
South Korea,8.4,82.69,90.1,7.2,30,1939,10,2
Japan,6.3,79.33,78.1,17.2,30,1617,8,2
Germany,11.2,71.70,100.0,6.5,34,1542,7,2
Netherlands,8.7,78.91,91.1,2.1,32,1381,5,2
Finland,9.5,77.26,100.0,10.7,36,1513,5,2
Denmark,10.0,78.03,93.6,5.3,36,1503,5,2
Sweden,9.6,68.62,96.9,7.4,36,1518,5,2
Norway,7.5,75.73,99.8,5.0,37,1382,5,2
Austria,11.8,76.64,96.0,6.4,38,1516,5,2
France,11.2,78.14,88.2,10.8,36,1605,6,2
United Kingdom,10.9,73.45,100.0,8.8,28,1621,8,2
Spain,11.0,77.57,93.8,11.8,36,1661,6,1
Czech Republic,13.7,75.51,79.3,5.9,33,1793,6,1
Australia,11.2,69.82,99.5,10.1,28,1627,5,2
Canada,10.0,69.10,95.5,10.3,28,1657,5,2
Taiwan,3.5,86.04,69.0,6.8,30,2023,7,2
Singapore,2.0,70.61,99.2,4.7,25,2321,6,2
Ireland,10.5,51.76,95.6,9.5,29,1583,7,2
United States,9.8,67.63,96.2,9.6,10,1886,5,2
Poland,11.9,55.36,80.1,7.3,33,1888,5,1
Romania,17.1,56.30,68.0,5.4,33,2001,3,1
Latvia,14.7,62.64,82.4,6.9,32,1819,3,1
Georgia,15.5,54.48,73.5,4.3,33,1952,2,0
Russia,10.5,60.86,76.0,5.1,40,1985,6,1
Mexico,6.0,72.50,58.2,2.8,18,2135,7,1
China,4.5,68.12,73.9,3.8,21,2319,5,1
Vietnam,10.7,60.80,54.3,2.3,22,2171,4,1
Brazil,9.4,58.92,59.1,8.5,30,1979,4,1
Colombia,4.3,68.30,60.6,3.0,33,2202,5,1
India,4.5,64.88,25.4,4.2,26,2376,3,0
