rank,country,score,healthcare_score,recovery_infra_score,scheduling_slack_score,water_quality_score,cultural_cure_score,alcohol_consumption
1,Japan,81.8,79.3,100.0,71.5,78.1,80.0,6.3
2,Finland,79.0,77.3,74.2,86.7,100.0,50.0,9.5
3,France,77.5,78.1,74.6,82.1,88.2,60.0,11.2
4,United Kingdom,77.3,73.5,66.6,67.9,100.0,80.0,10.9
5,South Korea,76.8,82.7,60.3,55.3,90.1,100.0,8.4
6,Germany,76.3,71.7,57.5,81.9,100.0,70.0,11.2
7,Norway,75.7,75.7,51.5,95.0,99.8,50.0,7.5
8,Austria,75.3,76.6,57.1,89.9,96.0,50.0,11.8
9,Spain,74.7,77.6,58.6,79.3,93.8,60.0,11.0
10,Denmark,73.7,78.0,52.7,87.2,93.6,50.0,10.0
11,Sweden,73.5,68.6,61.1,86.5,96.9,50.0,9.6
12,Australia,72.8,69.8,71.8,67.6,99.5,50.0,11.2
13,Canada,71.6,69.1,72.6,66.1,95.5,50.0,10.0
14,Netherlands,70.8,78.9,40.0,86.7,91.1,50.0,8.7
15,Ireland,70.7,51.8,69.4,71.5,95.6,70.0,10.5
16,Taiwan,67.8,86.0,58.7,51.1,69.0,70.0,3.5
17,Czech Republic,64.3,75.5,35.1,67.6,79.3,60.0,13.7
18,United States,62.5,67.6,69.8,24.6,96.2,50.0,9.8
19,Singapore,62.1,70.6,50.3,27.8,99.2,60.0,2.0
20,Russia,59.7,60.9,31.9,69.7,76.0,60.0,10.5
21,Poland,58.1,55.4,40.7,62.9,80.1,50.0,11.9
22,Latvia,57.4,62.6,39.1,64.7,82.4,30.0,14.7
23,Brazil,52.3,58.9,45.4,53.3,59.1,40.0,9.4
24,Colombia,50.8,68.3,23.6,47.1,60.6,50.0,4.3
25,Romania,50.2,56.3,33.1,57.2,68.0,30.0,17.1
26,Mexico,49.9,72.5,22.8,25.4,58.2,70.0,6.0
27,China,48.9,68.1,26.8,21.2,73.9,50.0,4.5
28,Georgia,45.0,54.5,8.7,59.6,73.5,20.0,15.5
29,Vietnam,42.3,60.8,20.8,30.3,54.3,40.0,10.7
30,India,32.8,64.9,8.4,26.7,25.4,30.0,4.5
