character,film,sa,dq,wp,gl,fo,pr
Ellen Ripley,Alien/Aliens,9,9,10,9,10,9
Erin,You're Next,9,9,9,8,10,9
Grace,Ready or Not,8,8,8,7,10,9
Laurie Strode,Halloween (2018),9,8,9,7,9,8
Sidney Prescott,Scream,8,8,7,7,10,8
Adelaide,Us,8,7,8,6,9,8
Chris Washington,Get Out,7,8,7,5,9,7
Nancy Thompson,A Nightmare on Elm Street,7,7,7,6,9,7
Sam,Trick 'r Treat,7,7,6,6,8,7
Dana,The Cabin in the Woods,6,7,6,6,7,7
Marty,The Cabin in the Woods,6,6,5,5,7,7
Tree Gelbman,Happy Death Day,5,6,5,5,8,6
Tommy Jarvis,Friday the 13th,5,5,6,5,7,6
Ash Williams,Evil Dead,4,4,7,4,6,8
Mia,Evil Dead (2013),5,5,5,4,6,5
Dennis,Scream (1996),4,4,3,3,4,4
Paxton,Hostel,3,3,4,3,3,3
Rod Lane,Get Out,4,3,3,2,3,3
Jack Torrance,The Shining,3,2,4,1,2,5
Tatum Riley,Scream (1996),3,3,3,2,2,3
Carol Anne,Poltergeist,3,3,1,2,4,2
Barb,Black Christmas,3,3,2,2,2,3
Tina,A Nightmare on Elm Street,3,2,2,2,1,2
Freddy's Early Victims,Nightmare on Elm Street (archetype),3,2,2,2,1,2
Heather Donahue,The Blair Witch Project,3,2,2,2,1,2
Generic Blonde,1980s Slasher (archetype),2,2,2,2,1,2
Georgie,IT,3,2,1,1,1,2
Micah,Paranormal Activity,2,1,2,1,1,2
Let's Split Up Guy,Generic Horror (archetype),2,1,2,1,1,2
Runs Upstairs,Generic Horror (archetype),2,1,1,1,1,1
