Drama,Year,Genre,Episodes,AvgRuntimeMin,TotalHours,IMDb,CliffhangerDensity,RomanceTensionEngine,SpoilerPressure,EpisodeFriction,PlotTwistVelocity
Squid Game,2021,Thriller/Survival,9,50,7.5,8.0,9,2,10,8,10
Crash Landing on You,2019,Romance/Drama,16,90,24.0,8.7,8,10,9,2,6
Goblin,2016,Fantasy/Romance,16,85,22.7,8.5,7,8,7,2,5
My Love from the Star,2013,Fantasy/Romance,21,60,21.0,8.3,6,9,5,2,5
Itaewon Class,2020,Drama/Romance,16,70,18.7,8.1,6,6,6,3,5
Kingdom,2019,Historical/Horror,12,45,9.0,8.3,9,1,7,7,8
Vincenzo,2021,Crime/Comedy,20,80,26.7,8.4,7,4,7,2,8
Reply 1988,2015,Slice-of-Life,20,95,31.7,9.0,2,5,3,1,2
Signal,2016,Crime/Thriller,16,70,18.7,8.5,8,2,5,3,9
Mr. Sunshine,2018,Historical/Romance,24,80,32.0,8.7,5,7,4,1,5
Extraordinary Attorney Woo,2022,Legal/Drama,16,70,18.7,8.5,5,6,8,3,4
All of Us Are Dead,2022,Horror/Thriller,12,60,12.0,7.6,8,3,8,6,7
The Glory,2022,Thriller/Drama,16,55,14.7,8.2,8,2,9,5,9
Moving,2023,Action/Superhero,20,47,15.7,8.4,7,4,7,4,7
Sweet Home,2020,Horror/Fantasy,10,52,8.7,7.5,8,2,6,7,7
Hospital Playlist,2020,Medical/Slice-of-Life,24,85,34.0,8.7,2,4,6,1,2
Start-Up,2020,Romance/Drama,16,80,21.3,7.9,5,7,5,2,4
Descendants of the Sun,2016,Romance/Action,16,60,16.0,8.2,5,6,6,4,4
Moon Lovers,2016,Historical/Romance,20,65,21.7,8.6,7,9,5,2,6
True Beauty,2020,Romance/Comedy,16,65,17.3,7.9,5,7,6,4,4
Business Proposal,2022,Romance/Comedy,12,60,12.0,8.1,6,7,7,6,4
Hometown Cha-Cha-Cha,2021,Romance/Slice-of-Life,16,80,21.3,8.3,3,5,5,2,2
My Mister,2018,Drama,16,70,18.7,9.0,3,1,3,3,3
Sky Castle,2018,Drama/Mystery,20,75,25.0,8.5,7,2,7,2,8
Penthouse,2020,Melodrama/Thriller,45,65,48.8,8.0,10,7,6,1,10
Alchemy of Souls,2022,Fantasy/Romance,30,80,40.0,8.7,7,8,6,1,7
Twenty-Five Twenty-One,2022,Romance/Drama,16,70,18.7,8.6,5,8,7,3,4
It's Okay to Not Be Okay,2020,Romance/Drama,16,80,21.3,8.6,6,9,7,2,6
Weightlifting Fairy Kim Bok-joo,2016,Romance/Comedy,16,60,16.0,8.2,3,5,3,4,2
D.P.,2021,Drama/Military,6,50,5.0,8.2,7,1,7,10,6
