Rank,Drama,CliffhangerDensity,RomanceTensionEngine,SpoilerPressure,EpisodeFriction,PlotTwistVelocity,BTS
1,Crash Landing on You,8,10,9,2,6,7.60
2,Squid Game,9,2,10,8,10,7.40
3,Penthouse,10,7,6,1,10,7.10
4,All of Us Are Dead,8,3,8,6,7,6.35
5,The Glory,8,2,9,5,9,6.35
6,It's Okay to Not Be Okay,6,9,7,2,6,6.35
7,Goblin,7,8,7,2,5,6.30
8,Business Proposal,6,7,7,6,4,6.25
9,Moon Lovers,7,9,5,2,6,6.25
10,Kingdom,9,1,7,7,8,6.20
11,Alchemy of Souls,7,8,6,1,7,6.15
12,D.P.,7,1,7,10,6,5.85
13,My Love from the Star,6,9,5,2,5,5.85
14,Sweet Home,8,2,6,7,7,5.85
15,Moving,7,4,7,4,7,5.80
16,Twenty-Five Twenty-One,5,8,7,3,4,5.75
17,Vincenzo,7,4,7,2,8,5.60
18,Itaewon Class,6,6,6,3,5,5.45
19,Extraordinary Attorney Woo,5,6,8,3,4,5.45
20,True Beauty,5,7,6,4,4,5.45
21,Signal,8,2,5,3,9,5.25
22,Descendants of the Sun,5,6,6,4,4,5.20
23,Sky Castle,7,2,7,2,8,5.10
24,Start-Up,5,7,5,2,4,4.95
25,Mr. Sunshine,5,7,4,1,5,4.70
26,Hometown Cha-Cha-Cha,3,5,5,2,2,3.65
27,Weightlifting Fairy Kim Bok-joo,3,5,3,4,2,3.55
28,Hospital Playlist,2,4,6,1,2,3.15
29,Reply 1988,2,5,3,1,2,2.80
30,My Mister,3,1,3,3,3,2.50
