Startup,YearFounded,YearDied,FundingRaisedM,PeakValuationM,DelusionScore,PMF_Gap,BurnRecklessness,IgnoredWarnings,HypeMultiplier
Theranos,2003,2018,945,9000,10,5,6,10,10
WeWork,2010,2023,12800,47000,8,4,5,6,4
Quibi,2018,2020,1750,1750,7,9,10,2,9
Juicero,2013,2017,120,120,9,10,9,3,8
Pets.com,1998,2000,82,300,5,6,7,3,7
Webvan,1996,2001,800,8000,6,5,8,5,8
MoviePass,2011,2019,69,1000,7,3,8,7,6
Solyndra,2005,2011,850,850,5,4,5,6,5
Better Place,2007,2013,850,850,8,6,7,7,8
Jawbone,2006,2017,930,3000,7,3,7,7,7
Vine,2012,2017,0,0,2,2,2,3,2
Google+,2011,2019,2000,0,6,9,6,10,5
Zune,2006,2011,300,0,4,6,4,5,3
Fire Phone,2014,2015,170,0,8,10,7,2,7
Segway,2001,2020,80,500,9,9,5,8,8
Yik Yak,2013,2017,74,400,5,4,6,5,7
Color Labs,2010,2012,41,41,8,9,10,3,9
Homejoy,2012,2015,38,38,4,4,4,4,4
Rdio,2008,2015,126,500,2,3,3,4,4
Secret,2014,2015,35,100,6,7,7,3,7
Beepi,2013,2017,150,560,6,4,6,5,6
Aereo,2012,2014,97,97,3,3,4,4,5
Friendster,2002,2009,48,53,5,4,3,6,4
MySpace,2003,2011,0,12000,6,4,3,7,4
Essential,2015,2020,330,330,7,7,7,4,7
Zume Pizza,2015,2023,375,2250,7,7,8,7,8
Clinkle,2011,2016,30,30,8,8,9,5,8
Doppler Labs,2013,2017,50,50,5,6,6,3,5
Brandless,2016,2020,240,500,5,5,7,4,7
Lily Robotics,2013,2017,34,34,9,9,8,5,8
