Rank,Startup,DelusionScore,PMF_Gap,BurnRecklessness,IgnoredWarnings,HypeMultiplier,ADS
1,Juicero,9,10,9,3,8,8.25
2,Lily Robotics,9,9,8,5,8,8.10
3,Color Labs,8,9,10,3,9,8.00
4,Theranos,10,5,6,10,10,7.95
5,Segway,9,9,5,8,8,7.95
6,Clinkle,8,8,9,5,8,7.75
7,Quibi,7,9,10,2,9,7.55
8,Fire Phone,8,10,7,2,7,7.30
9,Google+,6,9,6,10,5,7.25
10,Zume Pizza,7,7,8,7,8,7.30
11,Better Place,8,6,7,7,8,7.15
12,Essential,7,7,7,4,7,6.55
13,Webvan,6,5,8,5,8,6.20
14,Secret,6,7,7,3,7,6.10
15,MoviePass,7,3,8,7,6,6.10
16,Jawbone,7,3,7,7,7,6.00
17,WeWork,8,4,5,6,4,5.70
18,Pets.com,5,6,7,3,7,5.55
19,Brandless,5,5,7,4,7,5.45
20,Beepi,6,4,6,5,6,5.35
21,Yik Yak,5,4,6,5,7,5.15
22,Doppler Labs,5,6,6,3,5,5.15
23,Solyndra,5,4,5,6,5,4.90
24,MySpace,6,4,3,7,4,4.85
25,Zune,4,6,4,5,3,4.55
26,Friendster,5,4,3,6,4,4.40
27,Homejoy,4,4,4,4,4,4.00
28,Aereo,3,3,4,4,5,3.55
29,Rdio,2,3,3,4,4,2.95
30,Vine,2,2,2,3,2,2.15
